# corpus	nonce	expected_count	mask_sha256	raw_sha256
h64	444000000047	20	db2ee8047fa7604fdb35537cef75790325d1f8590ec8343d681832cdee42e5f0	1ce2af6e1e32429b64288cc15e903aaf5daf02ae3fa2f40a2fee43b868d41102
h64	444000000048	6	a1e63efa231efbcd352fc1807b59c83f9c277eb6795c0931141ee385d3cf6e96	ba47388545ad4511594ef57af6d873959853f0035dcab7d143a8163d1f01c4ec
h64	444000000049	11	ec4c7bc08c6a5aae3190e8fd863a535d3e6dca3bf75c31ed2ac2113a32ec5ebe	30644594cb836d41040139fa341eda835f3a847838d0b735d894c6ebf5f2c4db
h64	444000000050	13	ab429dd7e0357568705d7a2003271d0e1e117284f5c0cb49093d0a145d5db352	fc9ee9bcb9ba44098ec3aeb82d8175e66fdc97eeb4cc611ff26ca635ea36f217
h64	444000000051	14	47693bf19f2a6ecc672e1acffaddeb15ef2965d1e45f64113ab38eb9023dc615	f2c73065157b81f65969009ff426e22d5299ee0be114200836fc6019c11cc2bb
h64	444000000052	13	d1223757ead73a936c27dee73b1e246de12ca31e90b3263051578c907d564cf0	0f7d80ac7b9748e520fe10a1de79e2a8bbe9e5e1646c2e20e2929c58d4b95f77
h64	444000000053	15	fd1b9c61fc92f5237c6d00d5f0fff2e84286737e0486257f1b425fcf0fdd56ab	42e022b6a405b16a33a710cb2167100ec032c7831ab01abab4b2b1054ffb29bb
h64	444000000054	17	693e59dc91f5cb2c3bafbdce551aa4f6a84c8e58cdcba7ea1032209e38480673	8daba1bd5a641de4a08a523303ff8318e1590d6e6b08e97c2876eaa1f49893b9
h64	444000000055	19	f8ac91e15e2dcd711e8f711ff3b361e1979725cc51678bf33879212d72d75c67	474f80df3f940432a843d8e115488b05dfe5f0883a7fdf739a4cfbc4c037bdc2
h64	444000000056	16	519eb15674d5184446d813f4fce64be5be64caff188cdfb17d08d6493f083999	6f491832dda492154f203b777389f74a00984753df7e3681f4208f7b400751c6
h64	444000000057	19	20704f22f1a4b3a553ca33883a83bb64c4232e71b36a701cb9f1aa4e5545a237	ee830c98240684dffd7a8f5965eef8d83537f50121a65db0c097659e5b5ead95
h64	444000000058	18	8c4ba67b1d6af307c68bb21c9e2b7830cc814345a2bee2f5e1bc5e145a7704a6	d1b3a7251e9902b7e3cd0f42fbc39b3ec998bc8fdf39b291db7ec7c19ec06b6c
h64	444000000059	9	9911ba56345670792b3bd8b6368b78d229b1888462b710ac2b8bb2395a3807aa	1467e40a5f2b313c9563301c46e09cf15c44598a7b2b831752933e75a19415c3
h64	444000000060	8	6466ec3286d79db74fc2b186d6c08b11e5219d0c2d9cb98454a0a043f1717b9b	e3f58ca7e4631a55669c8d453926983d184d2d28aa10aa50b6a238bc69257f7c
h64	444000000061	12	bd49abdc5ef7943d9e102efe3e92d74b37ba03d79df175f5d8b32af5de01bed3	31ea0cf591e3a6d14c29067b1e8dc8bed67be33b489a0ee8deef7b34afd1b282
h64	444000000062	17	e46f259b1e4c213bd49fc0f6ba5e8742db22222d05be3a1ef864e28dbf3a282a	830ac71897fc9b2160b42985f93519a88c37d5d23500a7466a32e4d0da81780a
h64	444000000063	11	8ddff60ac73bc3762b496535bb0b3825a8dddcf1527a2f4016bd181b53583eb6	2eacb18129ee031a280ef36eba876f83cacd5a256070096642d5f3d35cc1e606
d16	730000000000	8	ae6f1caae2904ba4b1528210815c7fa0688e39f4d38b5c94c32edf026e13795f	a2347cdeb4239c69e854329d83ec11d40e7ade1429025f2e611b0cb345fb19d3
d16	730010000103	12	8e9e6d256c30c1ee2978f37c5b83ad31ade10c7a0fe1ecca46fd042fa39be6c6	98f09bb90f8291f4990dc66b3616b807a8804b311cefe800fa1b09ed75337b45
d16	730020000206	12	5cc7eadcee781c7cd7996aa39662299102ba96eb4f6f08396c8157ee175b3e57	906a6967cb3ca6d2548ed76eb59cd7eb84da3b111147c8df91850edab39d6f02
d16	730030000309	8	c37556dc725e4b2ba7316986ef6698958edff3a3bce36cfba200bd95b5063489	6bc77089065854de6e8fd5f798ee142364364f3839fb318896b233a1ebad639f
d16	730040000412	19	b82d1c3d799c6d169ede04562578d958b7a2d17ac5fccdb4dd67c7c86d16b135	3fe9d665c6b3267d1b82f6c7e52795f95c71d4d56d5326623a60086f69279b02
d16	730050000515	14	601c8b92f0cecdeb13ce852072c87ea4a7b2ec2e7ebbdc721ffbc5ed43627f5f	2c5f4010b7fb1ddffa6780078586c3e45b04a8b0fe5c6661582a2db1834eb7b7
d16	730060000618	11	d57feff138bc0058992fdc68d07ca6bcc2b5dc26b35551307a4c8a2841513a34	e22256a3c776799b96c59359cd924a3d652b6c372e749297f1bb7a5e80f04d5b
d16	730070000721	21	d9bfb2fc4f2b3cfdabede6d98df9ade6e9c25315b2a287b4a9e713854adb1e82	b5b8b7cafdb2d46280ab5704b69c599d1417e98fe7dee6535615f7699059270d
